id,Title,Year,Type,smoking,cigarette-smoking,pipe-smoking,cigar-smoking,Plot,Rating,Awards
tt0331639,Shakthi: The Power,2002,movie,False,True,False,False,A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.,6.0,3 nominations.
tt0125211,I Woke Up Early the Day I Died,1998,movie,False,True,False,True,"A cross-dressing mental patient escapes from an asylum and robs a bank. The money is soon stolen from him, and he embarks on a killing spree in an attempt to retrieve it.",5.8,7 wins.
tt0926759,The First Day of the Rest of Your Life,2008,movie,False,True,False,False,Five key days in a family's life.,7.6,4 wins & 8 nominations.
tt0062751,Boom!,1968,movie,False,True,False,False,"Explores the confrontation between the woman who has everything, including emptiness, and a penniless poet who has nothing but the ability to fill a wealthy woman's needs.",5.6,N/A
tt0074954,Nashville Girl,1976,movie,False,True,False,True,Young girl finds the rough road to musical stardom.,6.1,N/A
tt0041673,My Friend Irma,1949,movie,False,True,False,False,A scatterbrained Brooklynite and her wheeler-dealer fiancé interfere in her level-headed roommate's love life.,6.5,N/A
tt1605803,The Last Ride,2011,movie,False,True,False,False,"At the end of 1952, with the best years of Hank Williams's career behind him, he hires a local kid to drive him through the Appalachian countryside for a pair of New Years shows in West Virginia and Ohio.",5.8,N/A
tt0119642,Mean Guns,1997,movie,False,True,True,False,"100 people, who have betrayed The Syndicate, are gathered in a prison opening the next day. They are given weapons and 6 hours to kill each other. The 3 remaining share $10,000,000.",5.6,N/A
tt0085295,"Careful, He Might Hear You",1983,movie,False,True,False,False,"His mother dead, PS lives in Sydney with working-class Aunt Lila and Uncle George. When he's six or eight, his posh Aunt Vanessa descends from England. Named a co-guardian by PS's feckless,...",7.1,10 wins & 6 nominations.
tt0339727,Stateside,2004,movie,False,True,False,False,The film follows a rebellious teenager on leave from the Marines who falls in love with a female musician. The relationship is threatened when she develops a mental illness...,6.0,1 win.
tt0904049,Exte: Hair Extensions,2007,movie,False,True,False,False,About hair extensions that attack the women that wear them.,6.3,1 win.
tt0023634,"I Was Born, But...",1932,movie,False,True,False,False,Two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace.,8.0,1 win.
tt0037508,Along Came Jones,1945,movie,False,True,False,False,A good-natured saddle tramp traveling with his sidekick is mistaken for a ruthless outlaw with a price on his head.,6.5,N/A
tt5182856,Harmonium,2016,movie,False,True,False,False,"Toshio hires Yasaka in his workshop. This old acquaintance, who has just been released from prison, begins to meddle in Toshio's family life.",6.9,4 wins & 6 nominations.
tt5936692,The Last Family,2016,movie,False,True,False,False,"The story of a well-known artistic family: legendary painter Zdzislaw Beksinski, his wife Zofia and their son Tomasz, a highly-praised music critic and translator. Their lives were far from being usual.",7.5,30 wins & 16 nominations.
tt0071089,99 and 44/100% Dead!,1974,movie,False,True,False,True,"Uncle Frank Kelly calls on Harry Crown to help him in a gang war. The war becomes personal when Harry's new girlfriend is kidnapped by Uncle Frank's enemy, Big Eddie.",5.6,N/A
tt0455958,The Groomsmen,2006,movie,False,True,False,True,A groom (Ed Burns) and his four attendants wrestle with issues related to friendship and maturity a week before the big day.,6.1,N/A
tt0067069,Evel Knievel,1971,movie,False,True,False,False,"Biography of the famed motorcycle daredevil, much of which was filmed in his home town of Butte, Montana. The film depicts Knievel reflecting on major events in his life just before a big ...",5.1,N/A
tt0104496,In the Best Interest of the Children,1992,movie,False,True,False,False,Fact-based story of a legal battle fought over custody of five siblings.,7.3,1 nomination.
tt0057244,The Leather Boys,1964,movie,False,True,False,False,An immature teenager marries a young biker but becomes disenchanted with the realities of working class marriage and her husband's relationship with his best friend.,7.3,N/A
tt0037098,The Mummy's Curse,1944,movie,False,True,False,False,"An irrigation project in the rural bayous of Louisiana unearths living mummy Kharis, who was buried in quicksand twenty-five years earlier.",5.6,1 nomination.
tt0870195,Before the Rains,2007,movie,False,True,False,False,A English spice baron settles in South India during the waning years of the Raj.,6.5,1 win & 1 nomination.
tt0039372,Fear in the Night,1947,movie,False,True,False,False,"A man dreams he committed murder, then begins to suspect it was real.",6.4,N/A
tt1145446,Fatso,2008,movie,False,True,False,False,"Overweight loner Rino spends his days in seclusion, until his dad rents a room to an overtly sexual girl who challenges Rino to break down his walls.",5.6,1 win & 2 nominations.
tt0160338,Guinevere,1999,movie,False,True,False,False,A young girl from an affluent family rebels and becomes involved with a much older photographer.,6.0,2 wins & 7 nominations.
tt0405833,The Chronicles of Riddick: Escape from Butcher Bay,2004,game,False,True,False,False,"Set before the events of ""Pitch Black"", this game tells the story of how Richard B. Riddick obtained his ability to see in the dark. Riddick has just earned a one-way ticket to Butcher Bay,...",8.9,1 win & 4 nominations.
tt1210801,Command Performance,2009,movie,False,True,False,False,"When the Russian Premier is taken hostage at a rock concert in Moscow, it's up to a drummer, an ex-biker, to save him.",5.6,N/A
tt1456477,As If I Am Not There,2010,movie,False,True,False,False,A harsh dose of cinematic realism about a harsh time-the Bosnian War of the 1990s-Juanita Wilson's drama is taken from true stories revealed during the International Criminal Tribunal in ...,7.2,6 wins & 6 nominations.
tt0067118,Friends,1971,movie,False,True,False,False,"A rich English boy meets an orphaned French girl and as they become friends, create a world that is far away from the adult world we live in.",6.6,Nominated for 1 Golden Globe. Another 1 nomination.
tt1668016,A Real Vermeer,2016,movie,False,True,False,False,"The life story of Dutch painter Han van Meegeren, from his beginnings as a rebellious young artist in 1920s Amsterdam to his rise to infamy as one of the most ingenious art forgers of all time.",6.1,1 win & 3 nominations.
tt0091513,Mesmerized,1985,movie,False,True,False,True,"An orphaned New Zealand girl married to an older, wealthy businessman learns to deal with his strange sexual desires.",4.7,N/A
tt0029217,Marked Woman,1937,movie,False,True,False,False,"A crusading DA persuades a clip joint ""party girl"" to testify against her mobster boss after her innocent sister is accidentally murdered during one of his unsavory ""parties"".",7.2,1 win & 1 nomination.
tt0102014,Hear My Song,1991,movie,False,True,True,False,Owner of a failing club seeks infamous Irish singer Josef Locke in order to bring business and success to his club,7.2,Nominated for 1 Golden Globe. Another 4 wins & 3 nominations.
tt0112767,Cyclo,1995,movie,False,True,False,False,A young man who struggles through life by earning some money with his bicycle-taxi in Saigon (Ho Chi Minh city) gets contact to a group of criminals. They introduce him to the mafia-world ...,7.3,4 wins.
tt0062868,Deadfall,1968,movie,False,True,False,False,"Cat burglar Henry Clarke and his accomplices, the Moreaus, attempt to steal diamonds from the château of millionaire Salinas. However, Henry's partners in crime aren't the most emotionally stable people.",5.8,N/A
tt6386168,A Sort of Family,2017,movie,False,True,False,False,"A woman flies from Buenos Aires to be present for the birth of the child she has arranged to adopt. When the child is born, she is confronted with a demand from the biological mother's ...",6.4,6 wins & 18 nominations.
tt0026246,Crime and Punishment,1935,movie,False,True,False,False,Man is haunted by a murder he's committed.,7.0,N/A
tt0099356,A Dangerous Man: Lawrence After Arabia,1992,movie,False,True,False,False,Lawrence and Feisal go to argue for Arab independence at the 1919 Paris Peace Conference.,7.0,N/A
tt0140587,Surrender Dorothy,1998,movie,False,True,False,False,"Lahn is a heroin addict who will do anything for his dose. After he robs his roommate, Denis, he shows up at the door of Denis' best friend, Trevor, to see if he will hide him for a while. ...",5.5,4 wins & 1 nomination.
tt0058621,Strange Bedfellows,1965,movie,False,True,False,False,Carter meets Toni and impulsively marry him to find that they disagree on everything. They separate and seven years later on the eve before their divorce they meet again and spend the night together.,6.0,N/A
tt0138590,Twice Upon a Yesterday,1998,movie,False,True,False,False,"A shambling, out-of-work actor, desperate to win back the affections of his ex-girlfriend, unexpectedly stumbles upon a way to turn back the clock.",6.2,3 wins & 5 nominations.
tt0787485,Killer Pad,2008,movie,False,True,False,True,Three pals move into a haunted house in the Hollywood Hills.,3.9,N/A
tt7265272,Un monde plus grand,2019,movie,False,True,False,False,"From ""Mon initiation chez les Chamanes"" by Corine Sombrun. In order to forget the death of Paul, the man of her life, Corine leaves Paris for a few weeks, to direct a report in Mongolia. ...",6.4,1 nomination.
tt0046531,Walking My Baby Back Home,1953,movie,False,True,False,False,"World War II veteran Clarence ""Jigger"" Millard forms a band with several other former GIs. The band fails to take off and he is forced to join a minstrel show headed by Colonel Wallace. He soon falls for Wallace's niece Chris Hall.",6.9,N/A
tt0334405,Spellbound,2002,movie,False,True,False,False,Spellbound follows eight teenagers on their quest to win the 1999 National Spelling Bee.,7.5,Nominated for 1 Oscar. Another 17 wins & 17 nominations.
tt0043565,The Frogmen,1951,movie,False,True,False,False,"The new commander of a Navy Underwater Demolition Team--nicknamed ""Frogmen""--must earn the respect of the men in his unit, who are still grieving over the death of their former commander and resentful of the new one.",6.6,N/A
tt1193088,Change of Plans,2009,movie,False,True,False,False,So called friends at a dinner party end up acting like a dysfunctional family.,5.7,N/A
tt0081763,Witches' Brew,1980,movie,False,True,False,False,"A remake of 1944's Lon Chaney film Weird Woman (the first was Burn, Witch, Burn! in 1962) is more of a horror spoof, as three women use witchcraft to help their professor husbands further ...",4.5,N/A
tt0280696,Garage Days,2002,movie,False,True,False,False,"The story of a young garage band in Sydney, Australia trying to make it big.",5.9,4 nominations.
tt0053902,Heller in Pink Tights,1960,movie,False,True,False,False,Story of theatrical troupe that travels through the Old West.,6.0,N/A
tt0108253,Sunset Grill,1993,movie,False,True,False,False,"Ryder Hart is a disgraced ex-cop who is now a low-rent private investigator. His estranged wife, Anita, runs the Sunset Grill, and is now involved with Jeff, a Police Detective who used to ...",4.8,N/A
tt0081915,The Pee Wee Herman Show,1981,movie,False,True,False,False,"Comedy special starting Pee-Wee Herman and his friends in an adult version of the children's television show, ""Pee-Wee's Playhouse"" before it even existed.",8.0,N/A
tt0081606,Taxi zum Klo,1980,movie,False,True,False,False,"Frank Ripploh is a bit of a rascal: he's a bearded and shaggy-haired teacher, and he's gay with a very active sex life and an interest in making films. He keeps his personal life and ...",6.4,2 wins & 1 nomination.
tt0078062,The Clonus Horror,1979,movie,False,True,False,True,"Politicians scheme to clone themselves, assuring immortal life.",3.4,1 nomination.
tt0292246,Spatikam,1995,movie,False,True,False,False,A small town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,8.6,4 wins.
tt0220631,El mar,2000,movie,False,True,False,False,Two young men and a woman who shared the same traumatic childhood experience during the Spanish Civil War are reunited years later at a hospital for tuberculosis treatment.,6.8,2 wins & 6 nominations.
