id,smoking,cigarette-smoking,pipe-smoking,cigar-smoking
tt1849810,True,False,False,False
tt4031126,True,False,False,False
tt6914094,True,False,False,False
tt0084788,True,False,False,False
tt2186712,True,False,False,False
tt0405022,True,True,False,False
tt0077740,True,False,False,False
tt0450256,True,False,False,False
tt3302654,True,True,False,False
tt0163494,True,False,False,False
tt4585660,True,False,False,False
tt0062639,True,False,False,False
tt0037794,True,False,True,False
tt0099030,True,False,False,False
tt0023814,True,False,False,False
tt0281048,True,False,False,False
tt0032234,True,True,False,False
tt6522678,True,False,False,False
tt0143334,True,False,False,False
tt0048933,True,False,False,False
tt0406097,True,True,False,False
tt1193627,True,False,False,False
tt0070158,True,False,False,False
tt0100884,True,False,False,False
tt3784042,True,True,False,False
tt0060648,True,False,False,False
tt0087523,True,False,False,False
tt0056919,True,False,False,True
tt0034694,True,True,False,False
tt0228979,True,False,False,False
tt1242642,True,False,False,False
tt1299384,True,False,False,False
tt1559040,True,True,False,False
tt0069159,True,False,False,False
tt1111833,True,False,False,False
tt2504308,True,False,False,False
tt0056417,True,True,False,True
tt1701995,True,True,False,False
tt0063740,True,False,False,False
tt2599822,True,True,False,False
tt3079222,True,False,False,False
tt0074433,True,False,False,False
tt0070439,True,False,False,True
tt0844666,True,True,False,False
tt1695405,True,False,False,False
tt3564860,True,False,False,False
tt0048752,True,False,False,False
tt1780983,True,True,False,False
tt5473124,True,False,False,False
tt0019286,True,False,False,True
tt0253114,True,False,False,False
tt0219919,True,True,False,False
tt0031968,True,False,False,True
tt0079218,True,False,False,False
tt4805816,True,False,False,False
tt0050471,True,True,False,False
tt0478976,True,False,False,False
tt0038402,True,False,False,False
tt0096889,True,False,False,True
tt0027407,True,True,False,True
tt0026914,True,False,False,False
tt1219828,True,True,False,False
tt0074589,True,False,False,False
tt0097885,True,False,False,False
tt0094167,True,False,False,False
tt4509840,True,False,False,False
tt0060143,True,False,False,False
tt1424053,True,True,False,False
tt1470022,True,False,False,False
tt0051742,True,False,False,False
tt0382734,True,False,False,False
tt8471716,True,False,False,True
tt4176556,True,False,False,False
tt0116882,True,False,False,False
tt0808425,True,False,False,False
tt0458242,True,True,False,False
tt1906398,True,False,False,False
tt0039581,True,False,False,False
tt2009406,True,False,False,False
tt1461249,True,False,False,False
tt0093586,True,False,False,False
tt0218141,True,True,True,False
tt1554414,True,False,False,False
tt0049490,True,False,False,False
tt1555084,True,False,False,False
tt0064240,True,False,False,False
tt0274428,True,False,False,False
tt1848926,True,False,False,False
tt0223783,True,False,False,False
tt0068643,True,False,True,False
tt0039941,True,False,False,False
tt0072362,True,False,False,False
tt0101691,True,False,False,False
tt1095001,True,False,False,False
tt6130166,True,False,False,False
tt0404777,True,False,False,False
tt0492496,True,False,False,False
tt1337051,True,False,False,False
tt3102906,True,False,False,False
tt1692227,True,False,False,False
tt0352531,True,False,False,False
tt0423869,True,False,False,False
tt1298831,True,False,False,False
tt1501652,True,False,False,False
tt1021004,True,False,False,False
tt0318025,True,False,False,False
tt0035897,True,False,False,False
tt1359553,True,False,False,False
tt0097095,True,False,False,False
tt1616194,True,False,False,False
tt0226875,True,False,False,False
tt0291395,True,True,False,False
tt0184424,True,False,False,False
tt0347334,True,False,False,False
tt0083572,True,False,False,False
tt5186236,True,False,False,False
tt4163264,True,False,False,False
tt0062997,True,True,False,False
tt1699233,True,True,False,False
tt1210107,True,False,False,False
tt0096160,True,False,False,False
tt3103576,True,True,False,False
tt0890885,True,True,False,False
tt3497630,True,False,False,False
tt0365296,True,True,False,False
tt1242605,True,False,False,True
tt1174693,True,False,False,False
tt0038518,True,False,False,False
tt0071859,True,False,False,False
tt0065019,True,False,False,True
tt0303120,True,True,False,False
tt1010360,True,False,False,False
tt3749338,True,False,False,False
tt0437473,True,False,False,False
tt1153085,True,False,False,False
tt0107851,True,False,False,False
tt1609160,True,False,False,False
tt0023993,True,False,False,False
tt0765469,True,False,False,False
tt0138537,True,False,False,False
tt0033409,True,True,False,False
tt5328716,True,False,False,False
tt0479506,True,False,False,False
tt5787384,True,False,False,False
tt0132888,True,False,False,False
tt0148539,True,False,False,False
tt0129157,True,False,False,False
tt0049317,True,False,False,False
tt0276818,True,False,False,False
tt1198144,True,False,False,False
tt6720734,True,True,False,False
tt0315845,True,False,False,False
tt0147192,True,False,False,False
tt0053993,True,False,False,False
tt0258304,True,False,False,False
tt0308129,True,False,False,False
tt6256452,True,False,False,False
tt8080648,True,False,False,False
tt0470715,True,False,False,False
tt4466928,True,False,False,False
tt0049419,True,False,False,False
tt0289503,True,False,False,False
tt0113894,True,False,False,False
tt0882791,True,False,False,False
tt0072348,True,False,False,True
tt0969307,True,False,False,False
tt0258031,True,False,False,False
tt9346816,True,False,False,False
tt1814746,True,False,False,False
tt0113922,True,False,False,False
tt6930224,True,False,False,False
tt0393775,True,False,False,False
tt1314269,True,False,False,False
tt0090215,True,False,False,False
tt0023858,True,False,False,True
tt0365183,True,False,False,False
tt0162854,True,False,False,False
tt2370140,True,False,False,False
tt1518191,True,False,False,False
tt0050495,True,False,False,False
tt0035769,True,False,False,False
tt0440910,True,False,False,False
tt1401690,True,False,False,True
tt0100376,True,False,False,False
tt0083894,True,False,False,False
tt0072966,True,False,False,False
tt0183817,True,True,False,False
tt2343801,True,False,False,False
tt0377997,True,False,False,False
tt1766085,True,False,False,False
tt12617956,True,False,False,False
tt0193997,True,False,False,False
tt1132161,True,False,False,False
tt0492494,True,True,False,False
tt0063281,True,False,True,False
tt0124555,True,False,False,False
tt3884282,True,False,False,False
tt0115865,True,False,False,False
tt3879176,True,False,False,False
tt0053269,True,False,False,False
tt1667691,True,False,False,False
tt0286502,True,False,False,False
tt0228255,True,True,False,False
tt2501884,True,True,False,False
tt0085287,True,False,False,False
tt1263736,True,False,False,False
tt0470281,True,False,False,False
tt5595160,True,False,False,False
tt1756584,True,False,False,False
tt1455825,True,False,False,False
tt1117379,True,False,False,False
tt0068272,True,False,False,False
tt5663682,True,False,False,False
tt1530532,True,False,False,False
tt2600010,True,False,False,False
tt0196848,True,False,False,False
tt0940592,True,False,False,False
tt0803080,True,False,False,False
tt0152183,True,True,False,False
tt0103014,True,False,False,False
tt0432034,True,False,False,False
tt0332224,True,False,False,False
tt0111383,True,True,False,False
tt10305256,True,False,False,False
tt0480257,True,False,False,False
tt0068605,True,False,False,False
tt0118648,True,False,False,False
tt1773561,True,False,False,False
tt1134860,True,False,False,False
tt0050146,True,False,False,False
tt0065517,True,False,False,False
tt0029943,True,False,False,False
tt0034923,True,False,False,False
tt2963974,True,False,False,False
tt0077409,True,False,False,False
tt0079972,True,False,False,False
tt0106710,True,False,False,False
tt0056491,True,False,False,False
tt0033282,True,False,False,False
tt1345776,True,True,False,False
tt10376772,True,False,False,False
tt0434304,True,True,False,False
tt0328121,True,False,False,False
tt1513835,True,False,False,False
tt0103132,True,False,False,False
tt0054618,True,False,True,False
tt0055469,True,True,False,False
tt0087741,True,False,False,False
tt4182064,True,False,False,False
tt1199778,True,False,False,False
tt0312932,True,True,False,False
tt0111440,True,False,False,False
tt5728662,True,False,False,False
tt0115976,True,True,False,False
tt3280264,True,False,False,False
tt2502568,True,False,False,False
tt0169190,True,False,False,False
tt0078917,True,False,False,False
tt0053689,True,False,False,False
tt2234100,True,True,False,False
tt0113756,True,False,False,False
tt0945550,True,False,False,False
tt0000554,True,False,False,True
tt0063044,True,False,False,True
tt0114877,True,False,False,False
tt1563740,True,False,False,False
tt3276008,True,True,False,False
tt0468834,True,False,False,False
tt1015456,True,False,False,False
tt0122132,True,False,False,False
tt0369303,True,False,False,False
tt4512306,True,False,False,False
tt0078066,True,False,False,False
tt0018106,True,True,False,False
tt0062244,True,False,False,False
tt0357031,True,False,False,False
tt0757306,True,False,False,False
tt1450326,True,False,False,False
tt1748280,True,False,False,False
tt0027849,True,False,False,True
tt1196682,True,False,False,False
tt0248752,True,False,False,False
tt1194231,True,False,False,False
tt0082392,True,False,False,False
tt4686132,True,True,False,False
tt1951133,True,False,False,False
tt0063450,True,True,True,False
tt5214744,True,False,False,False
